"Part";"Value";"Device";"Package";"Description";"DESC";"DPN";"LINK";"MANUFACTURER";"MF";"MPN";"OC_MOUSER";"PACKAGE";"STANDARD";"TYPE";"VALUE";
"R12";"2.2K";"2.2KOHM";"0805";"https://www.digikey.com/product-detail/en/yageo/RC0805FR-072K2L/311-2.20KCRCT-ND/730623";"";"311-2.20KCRCT-ND";"https://www.digikey.com/product-detail/en/yageo/RC0805FR-072K2L/311-2.20KCRCT-ND/730623";"";"";"RC0805FR-072K2L";"";"";"";"";"";
"R13";"10K";"10KOHM";"0805";"";"";"RNCF0805DTE10K0CT-ND";"https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RNCF0805DTE10K0/RNCF0805DTE10K0CT-ND/2687083";"";"";"RNCF0805DTE10K0";"";"";"";"";"";
"R14";"10K";"10KOHM";"0805";"";"";"RNCF0805DTE10K0CT-ND";"https://www.digikey.com/product-detail/en/stackpole-electronics-inc/RNCF0805DTE10K0/RNCF0805DTE10K0CT-ND/2687083";"";"";"RNCF0805DTE10K0";"";"";"";"";"";
"S2";"";"TACT_SWITCH";"SWITCH_PTS820";"";"";"CKN10928CT-ND";"https://www.digikey.com/product-detail/en/c-k/PTS820-J15KP-SMTR-LFS/CKN10928CT-ND/7355849";"";"";"PTS820 J15KP SMTR LFS  ";"";"";"";"";"";
"T2";"MCP1825S";"MCP1826SMSTT3";"SOT223";"500 mA Adjustable Output Positive Voltage Regulator";"";"MCP1826ST-3302E/DBCT-ND";"https://www.digikey.com/product-detail/en/microchip-technology/MCP1826ST-3302E-DB/MCP1826ST-3302E-DBCT-ND/7065575";"";"";"MCP1826ST-3302E/DB";"";"";"";"";"";
"U$1";"MIDI_CONNECTOR";"MIDI_CONNECTOR";"DIN_SDS_50J";"https://www.digikey.com/product-detail/en/cui-inc/SDS-50J/CP-2350-ND/97033";"";"CP-2350-ND";"https://www.digikey.com/product-detail/en/cui-inc/SDS-50J/CP-2350-ND/97033";"";"";"SDS-50J";"";"";"";"";"";
"U$3";"STEREO_LINE_OUT_JACK";"STEREO_LINE_OUT_JACK";"AMPHENOL_STEREO_JACK";"";"";"889-1817-ND";"https://www.digikey.com/products/en/connectors-interconnects/barrel-audio-connectors/434?k=stereo+jack&k=&pkeyword=stereo+jack&sv=0&pv272=59&pv541=10&sf=0&FV=ffe001b2%2Cfffc07af%2Cfffc0261%2Cfffc0379%2C1f140000&quantity=&ColumnSort=0&page=1&stock=1&pageSize=25";"";"";"ACJS-MHDR";"";"";"";"";"";
"U$6";"MICROSD";"MICROSD";"MICRO-SD-SOCKET";"";"";"WM3288CT-ND";"https://www.digikey.com/product-detail/en/molex/0473340001/WM3288CT-ND/2405580";"";"";"0473340001";"";"";"";"";"";
"U4";"SGTL5000_32QFN";"SGTL5000_32QFN";"QFN-32-5MM";"https://www.digikey.com/product-detail/en/nxp-usa-inc/SGTL5000XNAA3R2/SGTL5000XNAA3R2TR-ND/2186898";"";"SGTL5000XNAA3R2TR-ND";"https://www.digikey.com/product-detail/en/nxp-usa-inc/SGTL5000XNAA3R2/SGTL5000XNAA3R2TR-ND/2186898";"";"";"SGTL5000XNAA3R2";"";"";"";"";"";
"U5";"23LC1024";"23LC1024";"TSSOP8";"https://www.digikey.com/product-detail/en/microchip-technology/23LC1024T-I-ST/23LC1024T-I-STCT-ND/5818676";"";"23LC1024T-I/STCT-ND";"https://www.digikey.com/product-detail/en/microchip-technology/23LC1024T-I-ST/23LC1024T-I-STCT-ND/5818676";"";"";"23LC1024T-I/ST";"";"";"";"";"";
